Radar Station | produced by | National Film Board of Canada
Scott Adkins | birth date | 17 June 1976
Scott Adkins | nationality | English
Scott Adkins | occupation | actor
Scott Adkins | occupation | mixed martial artist
Scott Adkins | known for | Yuri Boyka
Yuri Boyka | appears in | 2006 film
Yuri Boyka | appears in | 2010 sequel
Yuri Boyka | appears in | 2016 sequel
Scott Adkins | known for | Casey Bowman
Casey Bowman | appears in | Ninja
Casey Bowman | appears in | Ninja sequel
Scott Adkins | known for | Bradley Hume
Bradley Hume | appears in | Holby City
Scott Adkins | known for | Lucian
Lucian | appears in | Doctor Strange
Scott Adkins | known for | Kiley
Kiley | appears in | The Bourne Ultimatum
Scott Adkins | known for | John
John | appears in | Zero Dark Thirty
Scott Adkins | appeared in | EastEnders
Scott Adkins | appeared in | Hollyoaks
Scott Adkins | appeared in | Doctors
Scott Adkins | starred in | direct-to-video films
Constance Beauchamp | also known as | Connie Beauchamp
Constance Beauchamp | is fictional character in | Holby City
Constance Beauchamp | is fictional character in | Casualty
Constance Beauchamp | portrayed by | Amanda Mealing
Constance Beauchamp | last appeared in | 28 December 2010 episode "Snow Queens
Constance Beauchamp | role in Holby City | Clinical Lead of Cardiothoracic Surgery in Darwin
Constance Beauchamp | role in Holby City | Joint Director of Surgery
Tommy's Honour | is a | historical drama film
Tommy's Honour | depicts | lives and careers of Old Tom Morris and Young Tom Morris
Tommy's Honour | directed by | Jason Connery
Tommy's Honour | portrays Old Tom Morris | Peter Mullan
Tommy's Honour | portrays Young Tom Morris | Jack Lowden
Tommy's Honour | won | Best Feature Film at the 2016 British Academy Scotland Awards
Hélène Kuragina | full name | Yelena Vasilyevna Kuragina
Hélène Kuragina | appears in | War & Peace
Hélène Kuragina | portrayed by | Anita Ekberg
Hélène Kuragina | portrayed by | Amber Gray
Hélène Kuragina | portrayed by | Tuppence Middleton
Kevin McKidd | birth date | 9 August 1973
Kevin McKidd | nationality | Scottish-American
Kevin McKidd | occupation | actor
Kevin McKidd | occupation | director
Kevin McKidd | occupation | singer
Kevin McKidd | known for | Owen Hunt in Grey's Anatomy
Kevin McKidd | played role | Dan Vasser in Journeyman
Kevin McKidd | played role | Tommy in Trainspotting
Kevin McKidd | played role | Count Vronsky in Anna Karenina
Kevin McKidd | played role | Lucius Vorenus in Rome
Kevin McKidd | voice actor | John "Soap" MacTavish in video games
Kevin McKidd | played role | Poseidon in film
Ken Stott | full name | Kenneth Campbell Stott
Ken Stott | birth date | 19 October 1954
Ken Stott | nationality | Scottish
Ken Stott | profession | actor
Ken Stott | won award | Laurence Olivier Award for Best Actor in a Supporting Role
Ken Stott | won award for | Broken Glass
Ken Stott | played role | Balin
Ken Stott | played in | The Hobbit film trilogy
Ken Stott | played role | Ian Garrett
Ken Stott | played in | The Missing
Ken Stott | co-starred with | James Nesbitt
Ken Stott | played role | Edward 'Eddie' McKenna
Ken Stott | played in | Takin' Over The Asylum
Ken Stott | co-starred with | David Tennant
Ken Stott | played role | DI John Rebus
Ken Stott | played in | Rebus
Ken Stott | played role | DCI Red Metcalfe
Ken Stott | played in | Messiah
Elisabeth Moss | nationality | American
Elisabeth Moss | profession | actor
Elisabeth Moss | played role | Zoey Bartlet
Zoey Bartlet | relation to | Josiah Bartlet
Josiah Bartlet | position | President
Elisabeth Moss | played in | The West Wing
The West Wing | broadcast by | NBC
Elisabeth Moss | played role | Peggy Olson
Elisabeth Moss | played in | Mad Men
Mad Men | broadcast by | AMC
Elisabeth Moss | nominated for | Emmy Awards
Elisabeth Moss | nominated for | Golden Globe
Elisabeth Moss | played role | Robin Griffin
Elisabeth Moss | played in | Top of the Lake
Top of the Lake | broadcast by | BBC
Elisabeth Moss | won award | Golden Globe for Best Actress in a Miniseries or TV Film
Elisabeth Moss | played role | Offred
Elisabeth Moss | played in | The Handmaid's Tale
The Handmaid's Tale | broadcast by | Hulu
Elisabeth Moss | won award | Primetime Emmy Award for Outstanding Lead Actress in a Drama Series
Elisabeth Moss | role in production | producer
Tina Heath | 国籍 | British
Tina Heath | 职业 | actress
Tina Heath | 职业 | television presenter
Tina Heath | 首次电视亮相 | Broaden Your Mind
Broaden Your Mind | 播出平台 | BBC Two
Tina Heath | 出演 | Z-Cars
Tina Heath | 饰演角色 | Lizzie Dripping
Lizzie Dripping | 类型 | children's television serial
Tina Heath | 饰演角色 | Helen Burns
Helen Burns | 出自作品 | Jane Eyre
Jane Eyre | 制作方 | BBC
Jane Eyre | 类型 | miniseries
Tina Heath | 出演 | Play Of The Month: The Linden Tree
Play Of The Month: The Linden Tree | 作者 | J.B. Priestley
Tina Heath | 出演 | Churchill's People
Tina Heath | 出演 | The Girls Of Slender Means
The Girls Of Slender Means | 作者 | Muriel Spark
Tina Heath | 出演 | The Sweeney
Jack Lowden | birth date | 2 June 1990
Jack Lowden | nationality | Scottish
Jack Lowden | occupation | actor
Jack Lowden | works in | stage
Jack Lowden | works in | television presenter
Jack Lowden | works in | Best Film
Jack Lowden | starred in | War & Peace
War & Peace | produced by | BBC
Kate Buffery | full name | Katharine Winifred Buffery
Kate Buffery | birth date | 23 July 1957
Kate Buffery | nationality | English
Kate Buffery | occupation | actress
Kate Buffery | starred in | Wish Me Luck
Wish Me Luck | produced by | ITV
Kate Buffery | starred in | Close Relations
Close Relations | produced by | BBC
Kate Buffery | starred in | Wing and a Prayer
Wing and a Prayer | produced by | Channel 5
Kate Buffery | starred in | Trial and Retribution
Trial and Retribution | produced by | ITV
Kate Buffery | starred in | Daisy Pulls it Off
Daisy Pulls it Off | location | West End
Kate Buffery | nominated for | Olivier Award
William III of England | portrayed by | Bernard Lee
William III of England | portrayed by | Patrick Henry
William III of England | portrayed by | Olaf Hytten
William III of England | portrayed by | Alan Rowe
William III of England | portrayed by | Laurence Olivier
William III of England | portrayed by | Thom Hoffman
Orlando | based on | novel by Virginia Woolf
William III of England | portrayed by | Corin Redgrave
William III of England | portrayed by | Jochum ten Haaf
William III of England | portrayed by | Bernard Hill
William III of England | portrayed by | Russell Pate
William III of England | portrayed by | Egbert-Jan Weber
William III of England | portrayed by | George Webster
William III of England | portrayed by | Carl Prekopp
The Day of the Triffids | based on | novel by John Wyndham
The Day of the Triffids | previous adaptation | 1962 theatrical film
The Day of the Triffids | previous adaptation | 1981 BBC series
A Love Song | written by | Lee Greenwood
A Love Song | recorded by | Kenny Rogers
Kenny Rogers | occupation | country music
A Love Song | release date | October 1982
A Love Song | album | Love Will Turn You Around
A Love Song | chart position | number 3 on Billboard Hot Country Singles
A Love Song | chart position | number 1 on RPM Country Tracks in Canada
A Love Song | originally recorded by | Lee Greenwood
Lee Greenwood | album | Inside Out
Tunak Tunak Tun | genre | bhangra/pop
Tunak Tunak Tun | theme | A Love Song
Tunak Tunak Tun | artist | Daler Mehndi
Tunak Tunak Tun | release date | 1998
Daler Mehndi | nationality | Indian
Tunak Tunak Tun | music video technology | greenscreen
Tunak Tunak Tun | music video feature | computer-generated backgrounds
Tunak Tunak Tun | music video landmark | St. Basil's Cathedral
Daler Mehndi | birth name | Daler Singh
Daler Mehndi | birth date | 18 August 1967
Daler Mehndi | occupation | recording artist
Daler Mehndi | occupation | musician
Daler Mehndi | occupation | songwriter
Daler Mehndi | occupation | author
Daler Mehndi | occupation | record producer
Daler Mehndi | occupation | performance
Daler Mehndi | occupation | environmentalist
Daler Mehndi | credited with | making Bhangra popular worldwide
Daler Mehndi | credited with | setting up a parallel non-film music industry
Daler Mehndi | known for | energetic dance songs
Daler Mehndi | known for | distinctive voice
Daler Mehndi | known for | turban
Daler Mehndi | known for | long flowing robes
This Ain’t a Love Song | is lead single of | These Days
This Ain’t a Love Song | reached peak position | #14 on Billboard Hot 100
This Ain’t a Love Song | reached peak position | #11 on Mainstream Top 40
This Ain’t a Love Song | reached peak position | #6 on UK Singles Chart
These Days | has musical influence | rhythm and blues
This Ain’t a Love Song | is classified as | alternative rock
This Ain’t a Love Song | has music video director | Andy Morahan
This Ain’t a Love Song | has Spanish version | Como Yo Nadie Te Ha Amado
Como Yo Nadie Te Ha Amado | differs from | This Ain’t a Love Song
Yuridia | covered | Como Yo Nadie Te Ha Amado
Habla El Corazón | peaked at | #16 on Billboard Hot Latin Songs chart
Yuridia's cover | was nominated for | 2008 Latin Billboard Awards for Latin Pop Airplay of the Year by a Female Artist
Jon Bon Jovi | won | ASCAP Latin Award in the Pop/Ballad field
Feels Just Like a Love Song | performed by | Sara Evans
Feels Just Like a Love Song | release date | February 2009
Feels Just Like a Love Song | single number | twenty-third
Anmol Gagan Maan | real name | Gagandeep Kaur Maan
Anmol Gagan Maan | profession | Punjabi Singer
Anmol Gagan Maan | graduated from | M.C.M. D.A.V. College Chandigarh
Anmol Gagan Maan | majored in | Music & Psychology
Anmol Gagan Maan | won | World Folk Dance Competition
Anmol Gagan Maan | awarded | Miss Mohali Punjaban
Anmol Gagan Maan | has | over half a million Facebook fans
Anmol Gagan Maan | nominated for | Punjabi Music Best folk oriented Vocalist Award
Anmol Gagan Maan | won | Punjabi Music Best folk oriented Vocalist Award
Anmol Gagan Maan | launched | band punjabo
band punjabo | has | 11 female members
Crazy in Love | 演唱者 | Młynarze
Crazy in Love | 合作艺人 | Jay-Z
Crazy in Love | 所属专辑 | Dangerously in Love
Młynarze | 创作 | Crazy in Love
Jay-Z | 创作 | Crazy in Love
Rich Harrison | 创作 | Crazy in Love
Eugene Record | 创作 | Crazy in Love
Rich Harrison | 制作 | Crazy in Love
Młynarze | 制作 | Crazy in Love
Crazy in Love | 采样来源 | Are You My Woman
Crazy in Love | 音乐风格 | R&B
Crazy in Love | 音乐风格 | pop
Crazy in Love | 音乐风格 | hip hop
Crazy in Love | 音乐风格 | soul
Crazy in Love | 音乐风格 | 1970s-style funk
Crazy in Love | 主题 | romantic obsession
Lum no Love Song | 演唱者 | Yuko Matsutani
Lum no Love Song | 发行日期 | 1981-10-14至1983-07-20
Lum no Love Song | 用途 | Urusei Yatsura主题曲
Lum no Love Song | 使用时间 | 1981-10-14至1983-07-20
Owari no Hoshi no Love Song | alternative name | 終わりの惑星のLove Song
Owari no Hoshi no Love Song | producer | Jun Maeda
Owari no Hoshi no Love Song | vocalist | Nagi Yanagi
Owari no Hoshi no Love Song | released by | Flaming June
Flaming June | established by | Jun Maeda
Owari no Hoshi no Love Song | includes tracks from | Killer Song
Killer Song | released at | Comiket 81
Owari no Hoshi no Love Song | editions | regular CD version
Owari no Hoshi no Love Song | editions | CD+DVD limited edition
Owari no Hoshi no Love Song | peak chart position | No. 6 on the Japanese Oricon weekly albums chart
The Day Before I Met You | performed by | Jessica Mauboy
The Day Before I Met You | from album | Beautiful
The Day Before I Met You | release date | 13 February 2015
The Day Before I Met You | single number | sixth overall single
The Day Before I Met You | written by | Antonio Dixon
The Day Before I Met You | written by | Kenneth "Babyface" Edmonds
The Day Before I Met You | written by | Khristopher Riddick-Tynes
The Day Before I Met You | written by | Helen Jane Culver
The Day Before I Met You | written by | Jessica Mauboy
The Day Before I Met You | produced by | Antonio Dixon
The Day Before I Met You | produced by | Kenneth "Babyface" Edmonds
The Day Before I Met You | produced by | The Rascals
The Day Before I Met You | genre | pop song
The Day Before I Met You | features | acoustic guitar riff
The Day Before I Met You | features | very low pitched vocals
The Day Before I Met You | lyrical theme | not wanting to go back to a time before that special someone was in her life
Holland Society of New York | founded in | New York
Holland Society of New York | objective | find and preserve documentation about the inhabitants' lives and times
Holland Society of New York | sponsors | historical publications
Holland Society of New York | provides | resources for family studies and genealogy
Holland Society of New York | originated | New Netherland
